81;[346, 722, 939, 1142, 1340, 1675, 1748, 1761]
82;[803, 987, 1062, 1490, 1552]
84;[401, 798, 1130, 1648, 1819]
85;[8, 71, 205, 432, 1087, 1134, 1525, 1631, 1822]
86;[343, 481, 537]
87;[2, 64, 165, 244, 263, 274, 373, 462, 490, 511, 521, 654, 743, 751, 768, 860, 881, 897, 927, 1122, 1242, 1505, 1577, 1614, 1686, 1687, 1739, 1861]
88;[645, 826, 1106, 1125, 1405, 1491, 1602, 1721, 1864]
89;[162, 522, 1735, 1755, 1816]
90;[14, 58, 569, 583, 815, 857, 898, 948, 1055, 1091, 1165, 1504, 1545, 1548, 1795, 1910, 1913]
91;[41, 115, 184, 1421, 1519, 1857, 1917]
93;[1900]
95;[438, 553, 1166, 1492, 1734, 1776]
96;[98, 1292, 1690]
97;[5, 126, 226, 1101, 1148, 1511, 1547, 1595, 1622, 1802]
98;[16, 76, 182, 202, 441, 496, 570, 725, 1017, 1049, 1080, 1082, 1196, 1224, 1353, 1510, 1594, 1601, 1681, 1682, 1868]
99;[166, 185, 307, 431, 437, 505, 849, 940, 1091, 1129, 1475, 1485]
100;[1389, 1897]
101;[708, 733, 1389, 1750, 1851, 1897]
102;[497, 1323]
103;[291, 579, 1347, 1636, 1653, 1914]
104;[600, 797, 1150]
105;[23, 323, 478, 742, 890, 1265, 1312, 1752, 1764, 1780, 1840]
106;[146, 268, 597, 675, 820, 1258, 1420]
107;[345, 928, 1067, 1119, 1238, 1523, 1576]
108;[258, 316, 376, 573, 1081, 1082, 1088, 1326, 1394, 1706, 1797, 1878, 1912]
109;[481, 560, 703, 1775]
110;[77, 112, 159, 329, 413, 485, 546, 582, 788, 1181, 1260, 1281, 1328, 1424, 1465, 1540, 1705, 1808, 1868, 1891, 1921]
112;[7, 366, 841, 992, 1069, 1236, 1260, 1427, 1702]
114;[520, 825, 990, 1113]
115;[332, 1293, 1331, 1409]
116;[1385, 1521]
117;[365, 983, 1310, 1412, 1792, 1879]
118;[384, 387, 844]
119;[471, 542, 600, 713, 785, 985, 1363, 1609, 1628, 1875]
120;[149, 361, 428, 538, 943, 1095, 1114, 1134, 1263, 1373, 1728]
122;[779, 1059, 1416, 1925]
123;[349, 1314, 1358, 1508, 1820, 1856]
